date,user,action
17.12.2021 20:12:16,user1,Користувач ввійшов в систему
17.12.2021 20:12:19,user1,Користувач пройшов аутентифікацію
17.12.2021 20:12:42,user1,Користувач пройшов аутентифікацію
17.12.2021 20:12:56,user1,Користувачу відмовлено в доступі
17.12.2021 20:13:00,user1,Користувачу відмовлено в доступі
17.12.2021 20:13:06,user1,Користувач пройшов аутентифікацію
17.12.2021 20:13:29,user1,Користувач пройшов аутентифікацію
17.12.2021 20:13:41,user1,Користувачу відмовлено в доступі
17.12.2021 20:13:43,user1,Користувачу відмовлено в доступі
17.12.2021 20:13:46,user1,Користувачу відмовлено в доступі
17.12.2021 23:20:14,user1,Користувач ввійшов в систему
17.12.2021 23:20:20,user1,Користувач пройшов аутентифікацію
17.12.2021 23:20:37,user1,Користувач вийшов із системи
17.12.2021 23:23:29,user1,Користувач ввійшов в систему
17.12.2021 23:23:54,user1,Користувач ввійшов в систему
17.12.2021 23:23:57,user1,Користувач пройшов аутентифікацію
17.12.2021 23:24:04,user1,Користувач вийшов із системи
17.12.2021 23:24:58,user1,Користувач ввійшов в систему
17.12.2021 23:25:00,user1,Користувач пройшов аутентифікацію
17.12.2021 23:25:02,user1,Користувач вийшов із системи
17.12.2021 23:25:13,admin,Користувач ввійшов в систему
17.12.2021 23:25:17,admin,Користувач вийшов із системи
17.12.2021 23:26:10,admin,Користувач ввійшов в систему
17.12.2021 23:26:16,admin,Користувач вийшов із системи
